label,source,text
POS,"Synthetic_POS_07","REASONING: This is a positive example of a Gamified App using AI for difficulty adjustment. CONTENT: AI-Driven Difficulty Adjustment in an Active Commuting Game. The application uses a machine learning classifier to assess user fatigue from GPS and accelerometer data, dynamically adjusting the game's point rewards to encourage sustained active transport without burnout."
POS,"Synthetic_POS_08","REASONING: This is a positive example using Clustering (Unsupervised Learning) to phenotype users for tailored interventions. CONTENT: Identifying Walker Types in Urban Environments using Unsupervised Learning. We analyzed smartphone GPS traces from 500 adults using K-means clustering to identify distinct mobility patterns, which then fed into a rule-based app to deliver tailored route suggestions."
POS,"Synthetic_POS_09","REASONING: This is a positive example of a System Architecture paper describing an mHealth AI framework. CONTENT: Architecture for a Privacy-Preserving Federated Learning Framework in mHealth. We present the design of a smartphone-based physical activity monitoring system that uses Federated Learning to train activity recognition models locally on user devices, preserving privacy while improving accuracy."
POS,"Synthetic_POS_10","REASONING: This is a positive example of a Feasibility Study using machine learning for activity recognition. CONTENT: Feasibility of On-Device Random Forest Classifiers for Activity Recognition in Older Adults. This study tests the battery efficiency and accuracy of a Random Forest algorithm running locally on a smartphone to detect walking, sitting, and standing in an elderly population."
POS,"Synthetic_POS_11","REASONING: This is a positive example of a JITAI using Bayesian Networks. CONTENT: A Bayesian Network Approach to Just-in-Time Adaptive Interventions for Walking. The app constructs a probabilistic model of the user's receptivity to notifications, using Bayesian inference to decide whether to send a ""Move Now"" prompt."
POS,"Synthetic_POS_12","REASONING: This is a positive example of AI-driven social support. CONTENT: SocialFit: AI-Matching for Physical Activity Partners. The smartphone application uses a matching algorithm based on user fitness levels, schedule, and location to pair adults for joint exercise sessions in urban centers."
POS,"Synthetic_POS_13","REASONING: This is a positive example using Computer Vision for environment assessment. CONTENT: Mapping Walkability: Crowdsourcing Sidewalk Quality via Smartphone Cameras. Users record their walks, and a deep learning model analyzes video frames to score sidewalk quality, providing this data back to users to encourage walking on safer routes."
POS,"Synthetic_POS_14","REASONING: This is a positive example of a predictive model for dropout prevention. CONTENT: Predicting Attrition in mHealth Exercise Programs using Survival Analysis and Random Forests. The study uses interaction data from a smartphone app to predict when a user is likely to stop using the app, triggering automated re-engagement messages."
POS,"Synthetic_POS_15","REASONING: This is a positive example of combining Wearables and Smartphones with AI. CONTENT: Multi-modal Sensor Fusion for Activity Intensity Estimation. A smartphone app aggregates data from a smartwatch and the phone's internal sensors, using a neural network to estimate energy expenditure more accurately than single-device solutions."
POS,"Synthetic_POS_16","REASONING: This is a positive example of a protocol for an AI intervention. CONTENT: Protocol for a SMART Trial of an AI-based Walking App. This paper outlines the methodology for a Sequential Multiple Assignment Randomized Trial (SMART) testing different reinforcement learning reward functions in a smartphone walking app."
POS,"Synthetic_POS_17","REASONING: This is a positive example using Fuzzy Logic (AI) for goal setting. CONTENT: Adaptive Step Goals using Fuzzy Logic Control. The smartphone app uses a fuzzy logic controller to set daily step goals that are challenging yet attainable, based on the user's past week of performance."
POS,"Synthetic_POS_18","REASONING: This is a positive example of Chatbot-delivered CBT for exercise adherence. CONTENT: Cognitive Behavioral Therapy for Exercise via an AI Chatbot. The study evaluates a text-based conversational agent on a smartphone that uses decision trees and NLP to deliver CBT techniques to overcome barriers to exercise."
POS,"Synthetic_POS_19","REASONING: This is a positive example using Anomaly Detection for health alerts. CONTENT: Detecting Sudden Decreases in Mobility in Seniors. An unsupervised anomaly detection algorithm runs on the smartphone to identify significant drops in daily steps, alerting the user and suggesting gentle recovery activities."
POS,"Synthetic_POS_20","REASONING: This is a positive example of a hybrid AI system (Expert System + ML). CONTENT: Hybrid AI for Personalized Workout Plans. The app combines expert knowledge rules for safety with machine learning for preference adaptation to generate daily workout routines for users in home settings."
POS,"Synthetic_POS_21","REASONING: This is a positive example of Green AI / Sustainability in mHealth. CONTENT: Energy-Efficient Deep Learning for Continuous Activity Monitoring. We propose a model compression technique (pruning) that allows complex activity recognition networks to run on smartphones with minimal battery impact, promoting sustainable long-term monitoring."
NEG,"An et al. (2023)","REASONING: This is a negative example because it is a Scoping Review of existing methodologies, not a primary empirical study testing a specific intervention. CONTENT: A scoping review of methodologies for applying artificial intelligence to physical activity interventions. The review aggregates 24 studies on ML, DL, and RL in physical activity but does not present a new experimental intervention or primary data collection."
NEG,"Kasman et al. (2025)","REASONING: This is a negative example because it utilizes Agent-Based Modeling (ABM) for simulation rather than a direct smartphone-based intervention with real-world users. CONTENT: Leveraging agent-based modeling and a randomized intervention to advance childhood physical activity. The protocol describes creating an ABM to simulate complex systems and effect pathways in childhood physical activity, using the model to extrapolate strategies rather than testing an AI app directly on users."
NEG,"Jones et al. (2025)","REASONING: This is a negative example because it focuses on developing a conceptual model to inform simulations (Agent-Based Modeling), lacking a direct AI-driven app component for real-time user intervention. CONTENT: Developing a Conceptual Model for Collective Patterns and Leisure-Time Physical Activity Inequalities. The paper aims to capture dynamic interactions to conceptualize and inform an agent-based model for simulating physical activity inequalities, which is a theoretical/modeling task rather than an mHealth application."
NEG,"Sonnenschein et al. (2024)","REASONING: This is a negative example because it focuses on validating behavioral models for simulation using automated knowledge extraction, falling under the excluded category of simulation/ABM studies. CONTENT: Validating and constructing behavioral models for simulation and projection using automated knowledge extraction. The paper proposes a method to extract evidence into a knowledge graph to construct or validate Agent-Based Models (ABM), focusing on simulation methodology rather than real-world physical activity promotion via smartphones."
NEG,"Synthetic_NEG_01","REASONING: This is a negative example because the population is children (under 18). CONTENT: Gamified Physical Activity for Primary School Children using Machine Learning. This study evaluates an app designed for children aged 6-12 to promote recess activity. Although it uses AI, the target population is excluded from this review."
NEG,"Synthetic_NEG_02","REASONING: This is a negative example because it is a Review article. CONTENT: Systematic Review of Smartphone Apps for Physical Activity. We searched five databases to identify commercial apps that promote walking. This paper summarizes existing literature and does not present original empirical data or a new system."
NEG,"Synthetic_NEG_03","REASONING: This is a negative example because it lacks an AI component (Rule-based only). CONTENT: Efficacy of SMS Reminders for Walking: A Randomized Trial. Participants received daily text messages at 9 AM reminding them to walk. The intervention used a fixed schedule without any machine learning, adaptivity, or intelligence."
NEG,"Synthetic_NEG_04","REASONING: This is a negative example because it does not involve a smartphone (Wearable only). CONTENT: Accuracy of Fitbit Charge 5 for Step Counting in Seniors. The study validates the step-counting algorithm of a wrist-worn device. The data was downloaded via USB to a PC; no smartphone app was used as an interface or intervention tool."
NEG,"Synthetic_NEG_05","REASONING: This is a negative example because the setting is Rural/Wilderness. CONTENT: Hiking for Health: An App for Remote Trail Navigation. The study evaluates a GPS app designed for hiking in national parks and rural wilderness areas, which falls outside the urban scope of this review."
NEG,"Synthetic_NEG_06","REASONING: This is a negative example because the outcome is Diet, not Physical Activity. CONTENT: AI-Powered Food Recognition for Calorie Tracking. The smartphone app uses computer vision to identify food items on a plate and estimate calories. It does not measure or promote physical activity."
NEG,"Synthetic_NEG_07","REASONING: This is a negative example because it is a Simulation study (Synthetic Data). CONTENT: Simulating the Impact of Urban Green Space on Walking using Synthetic Populations. We generated a synthetic population of 10,000 agents to model how adding a park would influence walking behavior. No real-world users or apps were involved."
NEG,"Synthetic_NEG_08","REASONING: This is a negative example because the technology is Desktop/PC based. CONTENT: Web-based Portal for Physical Activity Planning. Users log into a website on their home computer to create weekly exercise plans. The system does not have a mobile component or smartphone interface."
NEG,"Synthetic_NEG_09","REASONING: This is a negative example because it focuses on Robotics, not Smartphones. CONTENT: Socially Assistive Robots for Exercise Coaching in Elderly Homes. A humanoid robot uses computer vision to lead exercise classes. While it uses AI, the interface is a robot, not a smartphone."
NEG,"Synthetic_NEG_10","REASONING: This is a negative example because the AI is for medical diagnosis (Diabetes), not PA promotion. CONTENT: Retinal Scanning for Diabetic Retinopathy using Smartphone AI. The app uses deep learning to analyze retinal images for disease diagnosis. It does not focus on physical activity behavior change."
NEG,"Synthetic_NEG_11","REASONING: This is a negative example because it is an Editorial/Commentary. CONTENT: The Future of AI in Sports Science: A Commentary. The authors discuss the potential benefits and risks of using generative AI in sports coaching. It contains no empirical data or specific system design."
NEG,"Synthetic_NEG_12","REASONING: This is a negative example because the population is adolescents. CONTENT: Feasibility of an mHealth Intervention for Physical Activity in High School Students. The study tests a smartphone app in adolescents aged 14-17. The population is excluded."
NEG,"Synthetic_NEG_13","REASONING: This is a negative example because it uses basic descriptive statistics only. CONTENT: Usage Patterns of a Commercial Walking App. We analyzed log data to report average session times and daily steps. No predictive modeling, machine learning, or AI techniques were applied."
NEG,"Synthetic_NEG_14","REASONING: This is a negative example because the focus is Sleep. CONTENT: SmartSleep: An AI App for Sleep Stage Analysis. The application uses microphone data to track sleep cycles and improve sleep quality. Physical activity is not an outcome."
NEG,"Synthetic_NEG_15","REASONING: This is a negative example because it is a Protocol for an Observational Cohort (no AI system testing). CONTENT: Protocol for the City Health Cohort Study. We plan to collect GPS data from 1000 citizens to observe mobility patterns. The study collects data but does not test an AI system or intervention."
NEG,"Synthetic_NEG_16","REASONING: This is a negative example because it focuses on Gait Analysis for clinical rehab (not general PA). CONTENT: Smartphone-based Gait Analysis for Stroke Rehabilitation. The app is used in a clinical setting to measure stride length in stroke survivors. The context is clinical rehabilitation, not general physical activity promotion/assessment in urban daily life."
NEG,"Synthetic_NEG_17","REASONING: This is a negative example because it involves a "Wizard of Oz" setup (Fake AI). CONTENT: User Perceptions of an AI Coach. In this experiment, participants thought they were interacting with an AI, but responses were actually typed by a human researcher. No actual AI system exists."
NEG,"Synthetic_NEG_18","REASONING: This is a negative example because the outcome is mental health (Depression) without PA. CONTENT: MoodTracking via Smartphone Typing Dynamics. The app predicts depressive states based on keyboard usage. It does not measure or promote physical activity."
NEG,"Synthetic_NEG_19","REASONING: This is a negative example because it is a Meta-Analysis. CONTENT: Meta-Analysis of Smartphone Interventions for PA. The study pools effect sizes from 50 previous RCTs. It is secondary research, not primary."
NEG,"Synthetic_NEG_20","REASONING: This is a negative example because the intervention is manually tailored. CONTENT: Tailored Text Messages for Exercise. Researchers manually created profile-based message banks. The selection logic was a simple "if-then" rule based on baseline surveys, not machine learning."
NEG,"Synthetic_NEG_21","REASONING: This is a negative example because it is an offline dataset analysis paper. CONTENT: Benchmark Dataset for Activity Recognition. We release a dataset of accelerometer recordings labeled by annotators. This paper presents a dataset resource but does not describe a smartphone system or intervention for users."
